run,year,county,pollutant,sourcetype,regclass,fueltype,roadtype,emission,vmt
1,2023,36109,98,32,30,5,5,23.223161697387695,52436.19921875
1,2023,36109,98,31,30,5,5,142.7900848388672,328690
1,2023,36109,98,21,20,5,5,28.109487533569336,80295.3984375
1,2023,36109,98,61,47,3,5,155.91751098632813,70080.296875
1,2023,36109,98,54,47,3,5,0.0022630891762673855,0.8690900206565857
1,2023,36109,98,53,47,3,5,12.79232120513916,6360.68017578125
1,2023,36109,98,52,47,3,5,202.257568359375,87907.5
1,2023,36109,98,51,47,3,5,32.43319320678711,14205.2998046875
1,2023,36109,98,43,47,3,5,11.4673433303833,5148.8701171875
1,2023,36109,98,42,48,3,5,44.65176010131836,18668.900390625
1,2023,36109,98,41,47,3,5,136.7240753173828,56990
1,2023,36109,98,62,49,2,5,395.6040954589844,190944
1,2023,36109,98,62,47,2,5,10573.96484375,5366860
1,2023,36109,98,62,46,2,5,5.9160380363464355,2988.639892578125
1,2023,36109,98,61,49,2,5,159.62680053710938,78037
1,2023,36109,98,61,47,2,5,3213.953857421875,1669180
1,2023,36109,98,61,46,2,5,757.403564453125,442518
1,2023,36109,98,54,47,2,5,87.83634948730469,46501.30078125
1,2023,36109,98,54,46,2,5,115.94991302490234,75647.5
1,2023,36109,98,54,42,2,5,4.198890686035156,3662.89990234375
1,2023,36109,98,53,47,2,5,150.74876403808594,93425.1015625
1,2023,36109,98,53,46,2,5,153.21023559570313,120571
1,2023,36109,98,53,42,2,5,69.58174133300781,85492.796875
1,2023,36109,98,53,41,2,5,128.8756103515625,177371
1,2023,36109,98,52,47,2,5,2411.08544921875,1317720
1,2023,36109,98,52,46,2,5,2406.345458984375,1702420
1,2023,36109,98,52,42,2,5,1090.347900390625,1231360
1,2023,36109,98,52,41,2,5,1939.439453125,2497910
1,2023,36109,98,51,47,2,5,108.01415252685547,56018.30078125
1,2023,36109,98,51,46,2,5,25.915115356445313,14775.7998046875
1,2023,36109,98,51,42,2,5,0.03849932178854942,27.326400756835938
1,2023,36109,98,43,47,2,5,33.34017562866211,20177.900390625
1,2023,36109,98,43,46,2,5,558.8343505859375,375995
1,2023,36109,98,43,42,2,5,7.787310600280762,6357.4599609375
1,2023,36109,98,43,41,2,5,0.12126856297254562,104.88899993896484
1,2023,36109,98,42,48,2,5,388.896484375,205251
